,30,90
0,Gdf9,AC149090.1
1,Arhgap6,Arhgap6
2,AC149090.1,Fstl4
3,AA465934,Gdf9
4,Fstl4,Rimklb
5,Cdk5r1,Spry3
6,Uqcrq,Taco1os
7,Adm,Smad3
8,Asic2,Slc6a13
9,Smad3,Fam129a
10,Exo1,Pax6
11,Dnah7b,AA465934
12,Tead1,Cdk5r1
13,Polr2g,Otub1
14,Spry3,Pkp1
15,Cct2,Moxd1
16,Celsr1,Paqr5
17,Tpm2,Cpm
18,Paqr5,Polr2g
19,Rimklb,Ppef2
20,Dkk3,Prg4
21,Otub1,Acsbg1
22,Slc6a13,Prrg4
23,Shb,Tet1
24,Arhgap31,Nell1os
25,Med18,Ndufb7
26,Pomc,Zbtb18
27,Pld5,Csrp1
28,Bicc1,Tgm4
29,Cdh13,Tnfaip8l3
30,Iqch,Myl4
31,Selenoh,Eya4
32,Egr2,Fam163a
33,Cpm,Sema6c
34,Stk17b,Lhfp
35,Suox,Stap1
36,Tspan2,Tspan15
37,Pqbp1,Hopx
38,Cbx3,Ldha
39,Zbtb18,Slc1a3
