,IN_CGE_NPYnaive90,IN_CGE_NPYquinine90,IN_CGE_NPYsucrose90,IN_CGE_VIPnaive90,IN_CGE_VIPquinine90,IN_CGE_VIPsucrose90,IN_MGE-Pvalbnaive90,IN_MGE-Pvalbquinine90,IN_MGE-Pvalbsucrose90,IN_MGE-SSTnaive90,IN_MGE-SSTquinine90,IN_MGE-SSTsucrose90,Pyrlayer2a/bnaive90,Pyrlayer2a/bquinine90,Pyrlayer2a/bsucrose90,Pyrlayer3naive90,Pyrlayer3quinine90,Pyrlayer3sucrose90,SL1naive90,SL1quinine90,SL1sucrose90,SL2naive90,SL2quinine90,SL2sucrose90,Vglut2naive90,Vglut2quinine90,Vglut2sucrose90,genes,var
0,0.70555174,0.75299525,1.5639002,0.55060697,0.5982355,1.4746382,0.5991979,0.6290845,1.3971384,0.6301774,0.73776114,1.4604018,0.69583523,0.55877614,1.3452497,0.78513426,0.7352095,1.5371913,0.5937367,0.48427606,1.0967231,0.64151466,0.56502,1.3754721,0.82276785,0.7806602,1.4947141,AC149090.1,0.1389321285720509
1,0.012251783,0.02045884,0.0,0.013354712,0.0,0.0,0.010554446,0.019338124,0.0,0.0,0.0,0.021682344,0.0066303946,0.0,0.0018654597,0.0051435735,0.0027371866,0.0056695715,0.012148626,0.0,0.011889294,0.0,0.014601565,0.005205322,0.036004785,0.0,0.0,Spry3,8.025966688476709e-05
2,0.08782974,0.050536938,0.07743111,0.21111286,0.14834926,0.05843777,0.030360857,0.096353985,0.088510394,0.10286895,0.08887799,0.09397547,0.053927545,0.052503604,0.064745024,0.05962367,0.06556636,0.07325317,0.054025672,0.017748673,0.084040135,0.04547193,0.07338482,0.085198134,0.07801939,0.026859716,0.070897214,Tns3,0.0013854616650057065
3,0.014240846,0.035692155,0.05010475,0.10586946,0.018197458,0.046106994,0.026936961,0.009129549,0.058632877,0.038295474,0.032085385,0.05924765,0.02970599,0.063969836,0.050357297,0.030990873,0.033457574,0.03466501,0.13524067,0.1389808,0.13048986,0.058369957,0.06291438,0.043464385,0.1804091,0.090695344,0.042548012,Jup,0.0017730690914376434
4,0.0,0.0,0.016132837,0.035986073,0.0,0.04986352,0.0,0.025388498,0.049531057,0.021105453,0.019288661,0.032445423,0.0271737,0.011049713,0.017564503,0.014076402,0.01412309,0.020839617,0.014788624,0.0,0.03979611,0.0,0.018951539,0.02384603,0.024471365,0.03318011,0.013223117,Ikzf1,0.000203390891431426
5,0.09705034,0.11791162,0.055341452,0.22072333,0.11695162,0.06439198,0.091718845,0.22849089,0.18105897,0.16584052,0.15991744,0.0862076,0.08523461,0.122919455,0.1295479,0.12439153,0.13186616,0.11380914,0.07617373,0.105277315,0.10829404,0.059203327,0.18559083,0.10032772,0.10945961,0.06190749,0.04815147,Cnp,0.0022071506549401787
6,0.0,0.028502613,0.023025937,0.08134018,0.03296714,0.027922861,0.0,0.0,0.0,0.006323125,0.031116694,0.020918304,0.012822784,0.0074091707,0.0038755827,0.007571359,0.014542189,0.011875436,0.011693885,0.0,0.01383022,0.017378138,0.026950419,0.009987959,0.026990646,0.038267635,0.013584658,P3h4,0.00028169409843569257
7,0.10764323,0.23467499,0.19725132,0.120552674,0.2581484,0.18853624,0.23019001,0.18487777,0.24144731,0.18562606,0.21030389,0.23682036,0.16791034,0.3009221,0.25457984,0.18552771,0.24010381,0.22361049,0.221002,0.24419653,0.2783011,0.2517092,0.26986793,0.31911963,0.33169055,0.34380975,0.31105298,Ina,0.003281377931539895
8,0.24103732,0.28234038,0.32123154,0.42798084,0.5754865,0.48835576,0.1179287,0.2220634,0.1499345,0.24576299,0.345011,0.23271656,0.20788893,0.23765054,0.22825918,0.16391294,0.24494165,0.24804726,0.23275703,0.35348067,0.32862535,0.23783615,0.31943223,0.30721527,0.10683255,0.25977048,0.21217613,Fxyd6,0.010469238322193835
9,0.09324852,0.058824245,0.064468384,0.06351513,0.050805964,0.105214566,0.12401229,0.105950296,0.1103213,0.07369032,0.06628188,0.07279903,0.07818279,0.07667722,0.062468793,0.1357542,0.090388246,0.07265489,0.060887404,0.049895532,0.019896338,0.086938664,0.11131092,0.042345718,0.07723888,0.030735478,0.0,Nxpe2,0.0009278201123844387
10,0.28847098,0.13322654,0.08615475,0.14237204,0.06905621,0.17798209,0.18875465,0.15348274,0.0965796,0.20781276,0.102577664,0.1328853,0.07781801,0.08039288,0.10362288,0.09618917,0.11222294,0.097077265,0.09490891,0.15301666,0.09903239,0.09369409,0.11979867,0.08378634,0.05012607,0.11281109,0.08975534,Pdcd11,0.0024266035980054505
