,30IN_CGE_NPY,30IN_CGE_VIP,30IN_MGE-Pvalb,30IN_MGE-SST,30Pyrlayer2a/b,30Pyrlayer3,30SL1,30SL2,30Vglut2,90IN_CGE_NPY,90IN_CGE_VIP,90IN_MGE-Pvalb,90IN_MGE-SST,90Pyrlayer2a/b,90Pyrlayer3,90SL1,90SL2,90Vglut2
0,AC149090.1,Ikzf1,Proser2,Nxpe2,Cnp,Ikzf1,Arhgap6,Vwc2,Proser2,Tns3,Tns3,Tns3,AC149090.1,AC149090.1,AC149090.1,Tns3,AC149090.1,Cnp
1,Spry3,Arhgap6,Ikzf1,Ikzf1,P3h4,Cnp,AC149090.1,Ikzf1,Usp6nl,Jup,AC149090.1,Ikzf1,Spry3,Tns3,Spry3,Jup,Tns3,Pdcd11
2,Rida,Vwc2,Tns3,Rida,Rpl30,P3h4,Proser2,P3h4,Slc11a1,AC149090.1,Ikzf1,Fxyd6,Arsa,Spry3,Nxpe2,AC149090.1,Jup,Atp5md
3,Rpl30,AC149090.1,Cnp,Jup,Usp6nl,Vwc2,Frem1,Spry3,Cnp,Ina,Fxyd6,AC149090.1,Mapk8ip2,Jup,Apoa1,Fxyd6,Spry3,P3h4
4,Dennd1b,Nxpe2,Usp6nl,Cnp,Proser2,Nxpe2,Adamtsl1,Apoa1,Matn2,Ikzf1,Jup,Jup,Arhgap6,Fxyd6,Agt,Ina,Ina,AC149090.1
5,Atp6v0e2,Slc11a1,Nxpe2,Plekhh2,Grip1os2,Apoa1,Itih5,Arhgap6,Rpl30,P3h4,Vwc2,Ntng1,Ikzf1,P3h4,Abcb10,Vwc2,Cnp,Nxpe2
6,Nek7,Proser2,Jup,Matn2,AC149090.1,Tns3,Anapc15,Nxpe2,Fxyd6,Fxyd6,Nxpe2,Col11a1,Mapk4,Vwc2,Hapln1,Spry3,Ikzf1,Jup
7,Cntnap2,Cnp,Fxyd6,Epas1,Ikzf1,Jup,Rhog,Cnp,Dcc,Vwc2,Spry3,Nxpe2,Tns3,Ina,Edil3,Ikzf1,Fxyd6,Apoa1
8,Nxpe2,Mov10l1,Vwc2,Fxyd6,Apoa1,Proser2,Slc9a3r2,Slc11a1,Plcd4,Spry3,Ina,Pdcd11,Gbx1,Ikzf1,Prlr,P3h4,Arhgap6,Tns3
9,Rgs16,P3h4,P3h4,Proser2,Vwc2,Fxyd6,Epsti1,Atp5md,Zfp804b,Arhgap6,Cnp,Ina,P3h4,Apoa1,Spef2,Cnp,Vwc2,Fibcd1
