,30min: aggregate,90min: aggregate
0,Ikzf1,AC149090.1
1,Arhgap6,Spry3
2,Cnp,Tns3
3,P3h4,Jup
4,AC149090.1,Ikzf1
5,Proser2,Cnp
6,Vwc2,P3h4
7,Nxpe2,Ina
8,Slc11a1,Fxyd6
9,Tns3,Nxpe2
10,Jup,Pdcd11
11,Apoa1,Vwc2
12,Fxyd6,Arhgap6
13,Usp6nl,Apoa1
14,Pdcd11,Arsa
15,Matn2,Atp5md
16,Spry3,Mapk4
17,Rpl30,Eps8
18,Ccnd1,Mov10l1
19,Tspan9,Thsd4
20,Plcd4,Spock3
21,Cdk5r2,Tmem268
22,Itih5,Cebpzos
23,Rida,Plppr1
24,Pzp,Dcc
25,Eef2,Mapk8ip2
26,Smyd1,Zeb2os
27,Onecut2,Unc13c
28,Olfm2,Rsl24d1
29,Ina,Cenpf
30,Bnip3,A2ml1
31,S1pr5,Lypd6
32,Mrpl35,Vwa5a
33,Pde4a,Hapln1
34,Cfap46,Fcer2a
35,Atp5md,Ppp3r2
36,Pet100,Tspan9
37,Anapc15,Dclre1b
38,Adamtsl1,Dbndd1
39,Platr31,Nostrin
