,SL1,Pyrlayer2a/b,Pyrlayer3,SL2,IN_MGE-SST,IN_CGE_VIP,Vglut2,IN_CGE_NPY,IN_MGE-Pvalb,genes,var
0,0.0,0.0044354745,0.0073228963,0.004743361,0.0,0.008801745,0.009270765,0.0,0.0094653815,Gdf9,1.109290753847396e-05
1,0.21494584,0.58627933,0.41130406,0.5181663,0.3647807,0.2983114,0.31664902,0.44288963,0.1701221,Arhgap6,0.015768437637319405
2,1.1061343,1.3943657,1.5159938,1.4080987,1.4421661,1.3701936,1.3998785,1.3963814,1.407834,AC149090.1,0.016357431991174166
3,0.02122384,0.019723468,0.020275086,0.035576865,0.013414316,0.017190412,0.03777009,0.040361907,0.021962987,AA465934,4.7736195356503345e-05
4,0.90495217,1.7035184,1.4412051,1.3791621,0.2792079,0.95925385,0.5640965,0.9244141,0.20589265,Fstl4,0.21489747035663676
5,0.4749061,0.42762047,0.3911271,0.43233174,0.39100903,0.4322896,0.3649526,0.49659148,0.43223977,Cdk5r1,0.0008178417012386025
6,0.44831392,0.38623974,0.41116512,0.40209132,0.4349922,0.46583366,0.3923284,0.3822514,0.47327378,Uqcrq,0.0007548383734049658
7,0.004006238,0.0049588378,0.0022871206,0.0,0.0,0.014957994,0.0,0.017997451,0.008457498,Adm,2.5852807491973985e-05
8,1.5145361,2.065383,2.4575863,2.2763681,2.203372,2.525086,2.9308226,2.2913551,1.9353423,Asic2,0.11028570645884865
9,0.07582188,0.48148647,0.7245657,0.18865618,0.124076396,0.22482605,0.1739217,0.4182301,0.18583196,Smad3,0.05206398917080082
10,0.0023114434,0.001486275,0.0054834224,0.0,0.0,0.006606947,0.010686586,0.0,0.013741242,Exo1,6.533261050262915e-06
11,0.009865889,0.025434755,0.0178827,0.009226678,0.035075895,0.03852146,0.03906083,0.02023825,0.10152832,Dnah7b,0.0001300675524700157
12,0.090243585,0.08012624,0.09255952,0.06907118,0.15593714,0.18933517,0.07605362,0.20307401,0.094726935,Tead1,0.0019361100294202841
13,0.13164426,0.15177527,0.14653224,0.1512155,0.16842756,0.12638849,0.10511195,0.17526156,0.16221757,Polr2g,0.00019242202248764828
14,0.010482101,0.0081794895,0.011463399,0.009513276,0.00631558,0.008126246,0.004379358,0.0,0.0,Spry3,2.861689066870221e-06
15,0.18467186,0.20134196,0.1932497,0.21379125,0.19945057,0.24102148,0.21392567,0.21081065,0.23144397,Cct2,0.0003280400707790232
16,0.008845305,0.009154236,0.0076986477,0.008527663,0.0076303054,0.0055929087,0.008192072,0.0071878494,0.005752951,Celsr1,1.382702793889928e-06
17,0.0063652266,0.0023401338,0.0039036917,0.007936648,0.010940305,0.011624199,0.009112906,0.0,0.016542748,Tpm2,1.1547587107726965e-05
18,0.0050402516,0.004416857,0.0054175584,0.0040359567,0.024240203,0.007749209,0.003531844,0.011977101,0.008501964,Paqr5,5.106451056889759e-05
19,0.13277265,0.11610238,0.13434488,0.11649051,0.14994702,0.17018527,0.15098715,0.18843023,0.12667619,Rimklb,0.00035839687058260755
20,0.13149618,0.12995686,0.23276836,0.1171968,0.1489035,0.20481351,0.12765706,0.18317766,0.14409679,Dkk3,0.0018282323579948412
21,0.25412142,0.25547916,0.258093,0.23988403,0.2591433,0.32317948,0.24806985,0.32589203,0.30157274,Otub1,0.0007177766606411684
22,0.010564657,0.0052576726,0.010564888,0.009290818,0.0071067177,0.00548176,0.0,0.01004939,0.006612138,Slc6a13,4.91172226879608e-06
23,0.079610534,0.058218554,0.038099065,0.08460237,0.10213793,0.07701743,0.16654018,0.06949668,0.16028342,Shb,0.00041326093016920266
24,0.03800038,0.09175978,0.113299906,0.016247867,0.05530593,0.09383032,0.091438144,0.07974011,0.10125525,Arhgap31,0.0011705301564767948
25,0.010321498,0.003786131,0.008772861,0.0045299516,0.012261585,0.009658276,0.0,0.009566016,0.011311127,Med18,9.400105427938775e-06
26,0.007451137,0.01247783,0.010519661,0.007967501,0.0070044156,0.006402268,0.0,0.0,0.01236389,Pomc,4.635041049087277e-06
27,0.02913261,0.03824647,0.04897333,0.041236192,0.19227839,0.19238782,0.21774448,1.0439985,0.05377757,Pld5,0.005231274964632712
28,0.043693244,0.14258257,0.1852338,0.06312755,0.07018499,0.06389864,0.09785426,0.112997524,0.12924328,Bicc1,0.0026062137610077187
29,0.3049796,0.45802855,1.404139,0.35188824,1.3723698,1.1030569,0.6480955,1.0891216,1.279829,Cdh13,0.22348764311109717
30,0.022621954,0.035233572,0.052272085,0.027396517,0.03480626,0.04253965,0.06915601,0.047529995,0.028248543,Iqch,9.372323754733483e-05
31,0.04605039,0.032575704,0.039828323,0.039774828,0.017983153,0.030669922,0.026919864,0.06753405,0.043804865,Selenoh,8.01337709486688e-05
32,0.005391461,0.012605339,0.014918823,0.015606457,0.007851583,0.0060929083,0.012840105,0.0,0.012531996,Egr2,1.7086778856929718e-05
33,0.007044461,0.0057103443,0.006511012,0.0046352167,0.0046162135,0.013720071,0.0,0.0113246925,0.006531434,Cpm,9.721483815572638e-06
34,0.024552055,0.006235553,0.005718476,0.012242839,0.00814054,0.011859091,0.003230684,0.0086916145,0.013485726,Stk17b,4.057545736475023e-05
35,0.015366743,0.0029599238,0.0071843714,0.0065313294,0.0073552337,0.0031068071,0.0,0.005929998,0.013068509,Suox,1.6969831884093156e-05
36,0.05653698,0.041848503,0.041728765,0.06815638,0.100779444,0.14661267,0.050411556,0.09126894,0.09240551,Tspan2,0.0013968875836866494
37,0.10320298,0.070445664,0.0746724,0.07074983,0.08346837,0.042268965,0.0680798,0.103738,0.09575954,Pqbp1,0.00032881043347809214
38,0.2818023,0.30811474,0.27236092,0.26185316,0.31310278,0.2242653,0.28128022,0.3414571,0.25399488,Cbx3,0.0008877422782571642
39,0.21120001,0.19881466,0.2387901,0.22931445,0.26888973,0.22565544,0.20454597,0.2289168,0.28942865,Zbtb18,0.0004876696739231387
