Only in Index 1,Only in Index 2,In Both
AA387883,AC150683.1,A2ml1
AA465934,AC160336.1,AA388235
AI987944,AC171003.1,AC149090.1
AW551984,AI429214,AC159140.1
Aamp,AI839979,AC163685.1
Aars,AW549877,AI197445
Abhd15,Aasdhppt,AI593442
Abhd17a,Abca13,AI837181
Acacb,Abcb1b,AI849053
Acd,Abcc6,AU020206
Ache,Abcd2,AW047730
Acot1,Abi3,AY036118
Acsbg1,Abracl,AY074887
Acsl3,Acat3,Aass
Actb,Acer2,Abat
Actr1b,Ackr4,Abca1
Acvrl1,Acsl6,Abca12
Ada,Acta1,Abca9
Adam33,Acvr1c,Abcb10
Adam4,Acy3,Abcb1a
Adamtsl4,Adamts13,Abcc3
Adgre1,Adamts3,Abcc9
Adgre5,Adamtsl2,Abhd4
Adi1,Adat2,Abhd8
Adprh,Adgra3,Abi3bp
Adtrp,Adgrg1,Abt1
Aga,Adrb2,Abtb2
Agap2,Agpat2,Acadm
Agbl2,Agtr1b,Acot11
Agl,Aif1l,Acot2
Ahcy,Aifm2,Acoxl
Ahrr,Ajm1,Acss1
Aif1,Akap5,Adam12
Aip,Aldob,Adam2
Ak1,Alg10b,Adamts1
Ak8,Alkbh4,Adamts12
Akt1,Alox12b,Adamts15
Aldh1l1,Amd2,Adamts17
Aldoa,Amdhd1,Adamts18
Aldoc,Amt,Adamts19
Alg1,Angel1,Adamts2
Alox5ap,Angptl4,Adamts4
Als2cl,Ankrd33b,Adamts5
Anapc11,Ankrd34a,Adamts6
Ankrd29,Ankrd37,Adamts8
Ankrd34c,Ankrd61,Adamts9
Ankrd40,Ano2,Adamtsl1
Ankrd46,Ano5,Adamtsl3
Ankrd9,Apoe,Adamtsl5
Anln,Aqp4,Adap2
Anxa4,Aqp9,Adap2os
Anxa9,Arfip1,Adarb2
Aoah,Arhgap20os,Adcy10
Aox4,Arhgap27os2,Adcy8
Ap1s2,Arhgap29,Adcyap1
Ap5s1,Arhgap42,Adgrf5
Apbb1,Arhgef10l,Adgrg6
Apcdd1,Arhgef26,Adgrl2
Apoa1,Arhgef37,Adgrl4
Apold1,Arl13a,Adgrv1
Arap3,Armc1,Adh5
Arc,Armc3,Adm
Arf2,Armcx1,Ado
Arhgdia,Armcx4,Adora2a
Arid5a,Art3,Adra1a
Arl6ip1,Arxes2,Adra1b
Armcx2,As3mt,Aebp1
Armcx6,Asah2,Afap1
Arnt2,Asb16,Afap1l2
Arpc5l,Ascl4,Aff2
Arrdc2,Aspa,Agbl1
Asap1,Aste1,Agbl4
Asap2,Atf4,Agmo
Asb1,Atp5g1,Agpat1
Asb15,Atp5h,Agt
Asna1,Atp6v1f,Agtrap
Asph,Atp8b1,Ahnak
Asphd1,Atxn7l1os2,Airn
Aspm,Azin1,Akain1
Asrgl1,B3gnt5,Akap12
Ass1,BC005537,Akna
Atad3aos,BC028528,Alcam
Atg9b,BC035044,Aldh1a2
Atmin,BC037704,Aldh1b1
Atoh8,BC048559,Aldh1l2
Atp5a1,BC065403,Aldh5a1
Atp5l,Bace2,Alk
Atp5mpl,Bag5,Alox8
Atp6v1e1,Bard1,Alpk1
Atxn7l3,Barhl2,Alpk2
B3gat2,Bcat1,Alpl
B3gnt9,Bche,Alyref
B4galnt2,Bcl2,Amigo1
B4galt3,Bex4,Amotl1
BB031773,Bfsp2,Amotl2
