,30IN_CGE_NPY,30IN_CGE_VIP,30IN_MGE-Pvalb,30IN_MGE-SST,30Pyrlayer2a/b,30Pyrlayer3,30SL1,30SL2,30Vglut2,90IN_CGE_NPY,90IN_CGE_VIP,90IN_MGE-Pvalb,90IN_MGE-SST,90Pyrlayer2a/b,90Pyrlayer3,90SL1,90SL2,90Vglut2
0,Cnp,Ikzf1,Eef2,Cnp,Cnp,Fxyd6,Ikzf1,Cnp,Ikzf1,Tns3,Tns3,AC149090.1,AC149090.1,AC149090.1,AC149090.1,AC149090.1,AC149090.1,Ikzf1
1,Jup,P3h4,Slc11a1,P3h4,Jup,Ikzf1,Cnp,Ikzf1,Apoa1,Jup,Jup,Tns3,P3h4,Spry3,Tns3,Arhgap6,Spry3,Vwc2
2,Dcc,Vwc2,Ikzf1,Apoa1,Nxpe2,Slc11a1,Slc11a1,P3h4,P3h4,Ina,Ikzf1,P3h4,Apoa1,Arhgap6,Spry3,Tns3,Tns3,Espn
3,Mapk4,Cnp,Tspan9,Ikzf1,Ikzf1,Vwc2,Plcd4,Vwc2,Nxpe2,AC149090.1,Fxyd6,Jup,Tns3,Tns3,Jup,Ikzf1,Ikzf1,Tcerg1l
4,Rps28,Apoa1,Cdk5r2,Nxpe2,Srxn1,Apoa1,P3h4,Nxpe2,Vwc2,Ikzf1,AC149090.1,Vwc2,Atp5md,Ikzf1,Ikzf1,Nxpe2,Nmur2,Ebf3
5,Proser2,Nxpe2,Cnp,Vwc2,Eef2,Dcc,Vwc2,Jup,Cnp,Vwc2,Cnp,Ina,Pdcd11,Jup,Fxyd6,Fxyd6,Ina,Phf13
6,Ikzf1,Pdcd11,Gna15,Fxyd6,Ebf2,Cnp,Pdcd11,Pdcd11,Zfp994,Fxyd6,Ina,Arhgap6,Vwc2,Cnp,Ina,Cnp,Arhgap6,Col5a2
7,Eef2,Slc44a4,Tnfsf13,Pzp,Gna15,Arhgap6,Cdk5r2,Proser2,Slc11a1,P3h4,Nxpe2,Ikzf1,Ina,Fxyd6,P3h4,Arsa,P3h4,P3h4
8,Rcsd1,Pzp,Plcd4,A2ml1,Dnmt3b,Akna,Apoa1,Tns3,Pzp,Cnp,Pdcd11,Fxyd6,Nxpe2,Vwc2,Cnp,Nop10,Fxyd6,Cnp
9,P3h4,Tspan9,Fxyd6,Cfap46,Sox5os4,Tns3,Proser2,Itih5,Plcd4,Esrrg,Eps8,Apoa1,Cnp,Nxpe2,Vwc2,Jup,Nefl,Gulp1
10,Stac2,Pet100,Plekhh2,Pkp3,Mns1,AC149090.1,Dbndd1,Apoa1,Tspan9,Dbndd1,P3h4,Atp5md,Fxyd6,Ina,Pdcd11,Ina,Vwc2,Tspan18
11,AA388235,Ppp3r2,Slc32a1,Tmem268,P3h4,P3h4,Nxpe2,Trpc3,Pdcd11,Pdcd11,Vwc2,Mapk4,Ikzf1,Srp9,Nxpe2,Vwc2,Cnp,Pdcd11
